question1,question2,label
艾滋患者能用可善挺吗？,JUNCTURE研究,0
年轻人怎么控制高血压,20岁得了高血压怎么办？,1
TNF,种族因素是否会影响患者司库奇尤单抗治疗疗效,0
RVO专家指南,抗VEGF药物治疗nAMD和PCV相关指南及推荐级别,0
"剧烈运动后咯血,是怎么了?",剧烈运动后咯血是什么原因？,1
cva发病率,感染和慢性支气管炎是否会增加慢阻肺的风险？,0
Ribo是饭前吃还是饭后吃,Ribociclib 能否与食物同服,1
安达唐常见不良反应,安达唐的价格是多少？,0
中国人工晶体分类专家共识,增生期糖尿病视网膜病变的干预指南,0
肺炎咳嗽吃什么药好的快,什么药肺炎咳嗽吃了好的快,1
雷珠单抗中国说明书,布林佐胺溴莫尼定滴眼液,0
乳腺癌早期要做化疗吗,想了解乳腺癌早期需要化疗吗？,1
乙肝表抗阳性，是否可以注射可善挺,一图读懂｜银屑病患者肝功能异常与生物制剂管理,1
信必可都保装置怎样使用,信必可都保如何使用？,1
小孩抗肺炎支原体抗体lgm阳性怎么办,小孩抗肺炎支原体抗体lgm阳性怎么处理,1
CN-88376,哪些人属于是卵巢癌的高危人群？,0
请问心跳慢需要装心脏搏动器吗,心力衰竭为什么要用超声心动图检查,0
雷珠单抗疗效,雷珠单抗治疗RVO-ME的有效性和安全性,0
盐酸班布特罗片怎么吃,利普卓/奥拉帕利的给药方法是什么？,0
ribociclib的使用经验,如何服用 Ribociclib？,0
糖尿病口干尿频怎么办,糖尿病人尿多怎么办,1
糖尿病能喂奶吗,糖尿病可以喂奶吗,1
，心衰怎么治疗,肺心病心衰的治疗,0
感冒流鼻涕吃什么药好？,感冒流鼻涕可以吃什么药？,1
沙雷菌肺炎的症状有哪些,沙雷菌肺炎有什么症状？,1
倍缓的规格,芙仕得的规格是多少？,0
糖尿病人能做白内障手术吗,糖尿病引起的白内障怎么办？想变正常还可以吗,0
小细胞肺癌使用英飞凡剂量爬坡实验,普米克®令舒®在人体的排泄和消除途径？,0
小儿支原体肺炎的症状是什么？,小儿支原体肺炎有什么样的症状？,1
为什么高血压患者降压目标是130 80,ARNI用于老年高血压患者，有何优势？,0
儿童银屑病,FIXTURE研究,0
5岁小孩感冒流鼻涕咳嗽吃什么药物,5岁小孩咳嗽会不会引起肺炎,0
